,P.P,H.A,A.K,A.A,M.N,R.M,L.H,C.Y,S.S,S.WB,L.P,H.M,L.W,K.L,Z.W
P.P,0,4,1,0,1,2,0,1,0,0,0,0,0,1,0
H.A,4,0,1,0,2,0,0,3,0,0,0,0,0,2,0
A.K,1,1,0,4,1,0,0,1,2,4,4,4,4,0,0
A.A,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
M.N,1,2,1,1,0,0,0,1,2,0,0,0,0,3,0
R.M,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L.H,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
C.Y,1,3,1,0,1,0,0,0,0,2,2,1,1,4,0
S.S,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
S.WB,0,0,4,0,0,0,0,2,0,0,4,4,4,0,0
L.P,0,0,4,0,0,0,0,2,0,4,0,4,4,0,0
H.M,0,0,4,0,0,0,0,1,0,4,4,0,4,1,0
L.W,0,0,4,0,0,0,0,1,0,4,4,4,0,0,0
K.L,1,2,0,0,3,0,0,4,0,0,0,1,0,0,0
Z.W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0